0,5162;0,5964;0,5254;0,4124;0,6773;0,6444;0,6992;0,5775;0,5522;0,5961;0,5124;0,5988;0,5053;0,5634;0,5487;0,5374;0,6047;0,4893;0,5373;0,5774;0,5654;1;0,4773;0,5262;0,4429;0,5931;0,4348;0,6419;0,5004;0,5585;0,5944;0,5926;0,6214;0,3861;0,5754;0,6229;0,5393;0,5206;0,6453;0,6055
0,5093;0,618;0,5206;0,3763;0,4851;0,4359;0,3964;0,5366;0,5521;0,475;0,695;0,5554;0,5558;0,5944;0,5859;0,7017;0,5626;0,573;0,5693;0,4786;0,4421;0,4773;1;0,3991;0,4209;0,4855;0,4884;0,5131;0,5036;0,4654;0,49;0,6328;0,5166;0,3706;0,4861;0,6608;0,4439;0,5076;0,5615;0,5795
0,6002;0,6077;0,6516;0,594;0,7799;0,7326;0,5264;0,6339;0,6049;0,7431;0,4961;0,5602;0,438;0,6745;0,5887;0,4588;0,7226;0,643;0,6469;0,7532;0,4761;0,5262;0,3991;1;0,5822;0,8915;0,6018;0,7844;0,3508;0,7192;0,7467;0,5509;0,6246;0,4156;0,5867;0,6212;0,8572;0,4809;0,6095;0,5405
0,4058;0,5525;0,5665;0,4047;0,5765;0,5083;0,3348;0,57;0,4652;0,4634;0,5397;0,5028;0,5151;0,5691;0,4844;0,5997;0,5359;0,5745;0,5102;0,5655;0,4709;0,4429;0,4209;0,5822;1;0,6097;0,4917;0,6295;0,4795;0,5091;0,4763;0,5443;0,5376;0,3854;0,5258;0,5151;0,5881;0,4296;0,548;0,5615
0,6336;0,6558;0,6803;0,6046;0,809;0,7494;0,541;0,6571;0,7064;0,8003;0,5395;0,6343;0,512;0,7037;0,6071;0,4921;0,7087;0,7177;0,6841;0,7983;0,5609;0,5931;0,4855;0,8915;0,6097;1;0,6065;0,7957;0,4761;0,791;0,7775;0,6354;0,7459;0,528;0,639;0,668;0,8513;0,5057;0,6704;0,6329
0,5063;0,5641;0,6911;0,382;0,6146;0,5653;0,4056;0,5601;0,5107;0,5666;0,532;0,5192;0,5953;0,5007;0,4653;0,5572;0,5426;0,516;0,5947;0,6343;0,4316;0,4348;0,4884;0,6018;0,4917;0,6065;1;0,6395;0,4559;0,6731;0,5643;0,555;0,459;0,3516;0,6037;0,5448;0,6026;0,4243;0,5746;0,563
0,7254;0,6809;0,7286;0,5993;0,864;0,8472;0,5695;0,78;0,6895;0,8027;0,5671;0,7209;0,5725;0,7127;0,6529;0,5607;0,7206;0,775;0,7665;0,7331;0,593;0,6419;0,5131;0,7844;0,6295;0,7957;0,6395;1;0,509;0,8169;0,8354;0,6273;0,757;0,5632;0,7075;0,7703;0,784;0,6682;0,7763;0,6947
0,4217;0,5776;0,5226;0,3048;0,5;0,5268;0,2581;0,4794;0,5806;0,49;0,5351;0,5411;0,659;0,5619;0,4418;0,6161;0,5889;0,4656;0,4348;0,4492;0,6199;0,5004;0,5036;0,3508;0,4795;0,4761;0,4559;0,509;1;0,5327;0,4627;0,5451;0,5154;0,3379;0,5617;0,5297;0,3334;0,4535;0,525;0,6454
0,6323;0,6532;0,6572;0,5931;0,7612;0,7452;0,5139;0,699;0,6836;0,8077;0,586;0,7107;0,6103;0,6642;0,5334;0,4923;0,6963;0,7091;0,7685;0,6894;0,5615;0,5585;0,4654;0,7192;0,5091;0,791;0,6731;0,8169;0,5327;1;0,7773;0,596;0,7184;0,5491;0,7022;0,6622;0,7224;0,5878;0,6892;0,6514
0,6734;0,6327;0,6415;0,6001;0,88;0,9326;0,5187;0,6894;0,6534;0,881;0,497;0,7414;0,5221;0,6606;0,5962;0,5207;0,681;0,7634;0,7295;0,629;0,5281;0,5944;0,49;0,7467;0,4763;0,7775;0,5643;0,8354;0,4627;0,7773;1;0,5913;0,7191;0,5406;0,6708;0,7083;0,6893;0,5309;0,6668;0,6496
0,597;0,5726;0,6557;0,4168;0,6169;0,5838;0,4975;0,6227;0,5952;0,6221;0,6125;0,614;0,5525;0,6689;0,5037;0,581;0,6795;0,6143;0,6421;0,6232;0,4462;0,5926;0,6328;0,5509;0,5443;0,6354;0,555;0,6273;0,5451;0,596;0,5913;1;0,622;0,4452;0,5724;0,6329;0,6005;0,508;0,6052;0,6915
